arquivo,codigo_sugerido,produto_sugerido,categoria,score,codigo_confirmado
disco_de_lixa_GR100.jpeg,524,"DISCO DE LIXA VELCRO 125MM,GR 060",,81.2,
disco_de_lixa_gr150.jpeg,524,"DISCO DE LIXA VELCRO 125MM,GR 060",,81.2,
disco_de_lixa_GR220.jpeg,524,"DISCO DE LIXA VELCRO 125MM,GR 060",,81.2,
colher-7-canto-redondo.jpeg,436,COLHER PEDREIRO 7CANTO REDONDO,,80.8,
colher_7_canto_redondo.jpeg,436,COLHER PEDREIRO 7CANTO REDONDO,,80.8,
LUVA-M.jpg,185,"REF 50326 LUVA DE PLASTICO (PU), P/ L",,80.0,
ROLO-1.jpg,189,REF 50305 ROLO DE PLASTICO P/ PINTUR,,80.0,
Lamina-Serra-12-x-24-Dentes.jpg,106,LAMINA PARA ARCO DE SERRA 12 24,,80.0,
disco_lixa_gr80.jpeg,524,"DISCO DE LIXA VELCRO 125MM,GR 060",,80.0,
Fita_10_m.jpeg,215,FITA FIXA- FACIL - 12 MM X 2 M,,80.0,
ESPATULA-EMBORRACHADA.jpg,218,ESPATULA COM CABO EMBORRACHAD,,80.0,
disco_lixa_gr40.jpeg,524,"DISCO DE LIXA VELCRO 125MM,GR 060",,80.0,
loren-shower-final.jpg,343,RESISTENCIA LOREN SHOWER TIPO LO,,80.0,
LUVA-G.jpg,185,"REF 50326 LUVA DE PLASTICO (PU), P/ L",,80.0,
adaptador_4entradas (1).png,355,ADAPTADOR 4 ENTRADAS 10 E 20 A - L,,79.2,
Resistencia-3065e-Ultra-Bella-Ducha-6800w (1).jpg,71,RESISTENCIA HS BELLA ULTRA / BELL,,78.9,
Resistencia-3065e-Ultra-Bella-Ducha-6800w.jpg,71,RESISTENCIA HS BELLA ULTRA / BELL,,78.9,
colher9-canto-redondo.jpeg,436,COLHER PEDREIRO 7CANTO REDONDO,,78.4,
elatisco_extensor_1.jpeg,497,"ELASTICO EXTENSOR 1,8 X 8MM",,78.3,
"broca-5,5mm-2.jpg",238,BROCA ACO RAPIDO 10X2.5MM,,77.8,
"broca-4,5mm-2.jpg",238,BROCA ACO RAPIDO 10X2.5MM,,77.8,
resistência-HS-c-5440-220v.png,152,RESISTENCIA DUCHA C 5400 W 220 V~,,77.8,
broca_aco_concreto_10.jpeg,269,BROCA DE CONCRETO 5X86MM,,77.4,
loren-shower-7500 (1).jpg,343,RESISTENCIA LOREN SHOWER TIPO LO,,77.4,
coher-canto-redondo-9-final.jpeg,437,COLHER PEDREIRO 9 CANTO REDOND,,77.2,
elastico_1.8x8mm.jpeg,402,"ELASTICO EXTENSOR 1,5M X 8MM",,76.9,
broca-8mm-final.jpg,282,BROCA WIDEA 8MM,,76.9,
preto-t3.jpg,219,"EXTENSAO 2P+T 1,5 MT PRETO SAQUIN",,76.9,
corda_70.jpeg,393,CORDA DE MULTI USO 15MMX 8MM,,76.9,
plug-preto-1-removebg-preview.png,207,PLUG MACHO PRETO,,76.9,
protetor-4-entradas.png,254,PROTETOR ELETRONICO 4 SAIDAS,,76.6,
lato-3-saidas.png,228,"ADPATADOR 3""T"" SAIDAS 10/20 A PIN",,76.2,
TERMINAL-800P.jpg,345,"KIT TERMINAL ELETRICO,280 PCS",,76.2,
um conjunto de chave.png,101,CONJUNTO DE LAMINA DE ESTILETE 1,,75.9,
broca-10mm-pronta.jpg,407,BROCA CHATA 10MM,,75.9,
Pacote de extensão e-5m.png,460,EXTENSAO ELETRICA DE 5M,,75.7,
"Pacote de extensão 1,5m.png",460,EXTENSAO ELETRICA DE 5M,,75.7,
uso_para_tinta_de_metal.jpeg,502,MISTURADOR DE TINTA DE METAL,,75.7,
loren-shower-final (1).jpg,343,RESISTENCIA LOREN SHOWER TIPO LO,,75.0,
Fita adesiva laranja.png,377,FITA ADESIVA DUPLA FACE 2M X 25M,,75.0,
adpatador-redondo-final.jpg,285,ADAPTADOR REDONDO 10 E20A,,75.0,
"broca-2,8mm-final.jpg",309,"BROCA ACO RAPIDO 2,8MM",,75.0,
etiquetadora-inicial.jpg,560,ETIQUETA P/ETIQUETADORA 50,,75.0,
disco-inox-pronto.jpg,72,"DISCO ABRASIVO 115X1X20,23MM INOX",,74.1,
broca-2mm-final.jpg,284,BROCA WIDEA 12MM,,74.1,
fita_laranja.jpeg,381,TRENA MANUAL 5MX25MM LARANJA,,73.7,
aliacte_p_bomba_d_agua_menor_final.jpeg,555,"ALICATE P/ BOMBA DE AGUA, 10",,73.3,
tomada10-A.jpg,175,TOMADA FEMEA,,72.7,
kit_eletrico_menor.png,345,"KIT TERMINAL ELETRICO,280 PCS",,72.7,
colher_7_prata.jpeg,390,COLHER PEDREIRO 7,,72.7,
broca-10mm-2-removebg-preview.png,407,BROCA CHATA 10MM,,72.7,
Imagem de um adaptador-rendondo.png,441,ADAPTADOR DE TORNEIRA,,72.7,
broca-12mm-3-removebg-preview.png,408,BROCA CHATA 12MM,,72.7,
peneira_branca_de_metal.jpeg,311,ABRACADEIRA DE NYLON BRANCA 4,,72.0,
fita_fix_TAPE_20.jpeg,54,AR0181 - FITA SILVER TAPE 10MTS (S,,72.0,
"broca-2,8mm-gemini.png",309,"BROCA ACO RAPIDO 2,8MM",,72.0,
PLUGUE-BRANCO-3-BONITO.jpg,336,PLUGUE MACHO - BCON,,71.8,
broca_2.2mm.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,71.4,
plugue-preto.jpg,207,PLUG MACHO PRETO,,71.4,
broca-8mm-pronta.png,454,BROCA CHATA 18MM,,71.4,
broca-4mm-2.jpg,309,"BROCA ACO RAPIDO 2,8MM",,71.4,
colher-cabo-plastisco-9-reta.jpeg,432,COLHER PEDREIRO CANTO RETO 9,,71.4,
Pacote de extensão e-2m.png,458,EXTENSAO ELETRICA 2M,,71.0,
DISCO-PORCELANATO-removebg-preview.png,232,DISCO DIAMETALIC PORCELANATO FU,,70.8,
disco_porcelanato_110_8_modificado.jpeg,232,DISCO DIAMETALIC PORCELANATO FU,,70.8,
DISC-INOX-DIAMETALIC.png,232,DISCO DIAMETALIC PORCELANATO FU,,70.6,
"abracadeira-4,8-150mm-final.jpg",312,"ABRACADEIRA NYLON 4,8X150MM",,70.6,
hs-4t-faminho-removebg-preview.png,68,RESISTENCIA HS FAMINHO 4T 6800 W,,70.3,
hs-4t-faminho-removebg-preview (1).png,68,RESISTENCIA HS FAMINHO 4T 6800 W,,70.3,
kit-pintura-final.jpg,369,CONJUNTO DE ROLOS PARA PINTURA C,,70.0,
broca-6mm-removebg-preview.png,281,BROCA WIDEA 6MM,,70.0,
latao 3 latas.png,166,BENJAMIN LATAO 3 SAÍDAS,,70.0,
res-log-final.jpg,342,RESISTENCIA TIPO F. VIDA LOG.4T (HS),,70.0,
fita-12-final.jpg,215,FITA FIXA- FACIL - 12 MM X 2 M,,70.0,
Corda multiuso-bege.png,392,CORDA MULTI USO 10 X 8MM,,69.8,
extensao_1.20_6entradas.jpeg,458,EXTENSAO ELETRICA 2M,,69.8,
DISCO-ESMILHADEIRA-removebg-preview.png,233,DISCO ESMERILHADEIRA TURBO FURO,,69.7,
COMJUNTO-ESTILETE.jpg,101,CONJUNTO DE LAMINA DE ESTILETE 1,,69.6,
broca-7mm-final.jpg,281,BROCA WIDEA 6MM,,69.2,
r-c-4000 (1).jpg,151,RESISTENCIA DUCHA C 220V 4000W,,69.2,
colher-10-redonda.png,435,COLHER PEDREIRO REDONDO 10 18KG,,69.2,
Uma caixa de parafuso-1.png,405,SUPORTE PARA TV ULTRA NA CAIXA,,69.0,
Uma bomba de ar-ajustada.png,314,"BOMBA DE AR, DE USO MANUAL 55C",,68.0,
rolo de fita dupla-f-1.png,378,"FITA ADESIVA, DUPLA FACE VERMELH",,67.9,
Imagem de um ponteir.png,557,JOGO DE BITS MAGNETICO PONTEIRA p,,66.7,
Imagem de um plugue-branco.png,153,PLUGUE MACHO,,66.7,
imagem de um plugue .png,153,PLUGUE MACHO,,66.7,
fixacao_8_mm_final.jpg,514,BUCHA FIXACAO ECOLIDER 8 C/ANEL C,,66.7,
Imagem de um plugue-1 .png,153,PLUGUE MACHO,,66.7,
disco_liso_.jpeg,72,"DISCO ABRASIVO 115X1X20,23MM INOX",,66.7,
biela_14mm.jpeg,283,BROCA WIDEA 10MM,,66.7,
Pacote de extensão e-2.png,458,EXTENSAO ELETRICA 2M,,66.7,
CUBO-4LADOS.jpg,208,ADAPTADOR CUBO 4 LADOS,,66.7,
DISCO-LISO.jpg,72,"DISCO ABRASIVO 115X1X20,23MM INOX",,66.7,
"broca-7,5mm-pronta.png",412,BROCA CHATA 25MM,,66.7,
r-c-4000.jpg,151,RESISTENCIA DUCHA C 220V 4000W,,66.7,
paraf-novo.jpg,174,PARAF (ANFIX) GESSO CABECA TROMBE,,66.7,
AnyConv.com__Aplicador-de-silicone.jpg,352,"APLICADOR DE METAL, DE USO MANUA",,65.6,
Pacote de abraçadeir-2.png,399,ALICATE DE CORTE 6,,65.0,
Pacote de abraçadeir-3.png,399,ALICATE DE CORTE 6,,65.0,
Pacote de abraçadeir-4.png,399,ALICATE DE CORTE 6,,65.0,
broca_amarela_12_160mm.jpeg,270,BROCA VIDEA 8X120MM,,64.9,
Pacote de bastões de-2.png,399,ALICATE DE CORTE 6,,64.9,
broca_collins_1mm (2).jpeg,309,"BROCA ACO RAPIDO 2,8MM",,64.9,
plug-bancon-final.jpg,336,PLUGUE MACHO - BCON,,64.7,
"ABRA-7,6-BONITA.jpg",176,ABRACADEIRA NYLON 7.6X450MM (B,,64.5,
mini_martelo_vermelho_reduzido.jpeg,566,MINI MARTELO DE METAL CABO EMBOR,,64.5,
ponteiras_magneticas_menores.jpeg,557,JOGO DE BITS MAGNETICO PONTEIRA p,,64.3,
broca-7mm-pronta.png,407,BROCA CHATA 10MM,,64.3,
"broca-7,5mm-final.jpg",281,BROCA WIDEA 6MM,,64.3,
ALICATE-ARREBATADOR.jpg,47,AR0673 - ALICATE DESENCAPADOR E C,,64.0,
KIT-TERMINAL-REF-5040.jpg,345,"KIT TERMINAL ELETRICO,280 PCS",,64.0,
Imagem de uma lâmina.png,212,MAX BRAND LAMINA DE BARBEAR,,63.8,
PONTEIRA-100MM-removebg-preview.png,277,PONTEIRA PHILIPS PH2 100MM MAGNET,,63.6,
res-log-final (1).jpg,342,RESISTENCIA TIPO F. VIDA LOG.4T (HS),,63.6,
