codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
408,BROCA CHATA 12MM,"6,000",UN,4.15,0.0,KL VITORIA - COM. D,FERRAMENTAS,408_BROCA_CHATA_12MM.png,SIM
409,BROCA CHATA 16MM,"6,000",UN,5.17,0.0,KL VITORIA - COM. D,FERRAMENTAS,409_BROCA_CHATA_16MM.jpeg,SIM
454,BROCA CHATA 18MM,"5,000",UN,5.5,0.0,KL VITORIA - COM. D,FERRAMENTAS,454_BROCA_CHATA_18MM.jpeg,SIM
411,BROCA CHATA 20MM,"6,000",UN,6.19,0.0,KL VITORIA - COM. D,FERRAMENTAS,411_BROCA_CHATA_20MM.jpeg,SIM
412,BROCA CHATA 25MM,"6,000",UN,7.25,0.0,KL VITORIA - COM. D,FERRAMENTAS,412_BROCA_CHATA_25MM.jpeg,SIM
269,BROCA DE CONCRETO 5X86MM,"0,000",UN,2.72,0.0,DIAMETALIC FERRA,FERRAMENTAS,269_BROCA_DE_CONCRETO_5X86MM.jpg,SIM
289,"BROCA HSS-G 10X1,5MM","29,000",UN,12.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,289_BROCA_HSS_G_10X1_5MM.png,SIM
236,BROCA HSS-G 10X1MM,"9,000",UN,12.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,236_BROCA_HSS_G_10X1MM.jpg,SIM
291,"BROCA HSS-G 10X2,5MM","50,000",UN,11.2,0.0,DIAMETALIC FERRA,FERRAMENTAS,291_BROCA_HSS_G_10X2_5MM.jpg,SIM
290,BROCA HSS-G 10X2MM,"49,000",UN,11.2,0.0,DIAMETALIC FERRA,FERRAMENTAS,290_BROCA_HSS_G_10X2MM.jpg,SIM
293,"BROCA HSS-G 10X3,5MM","50,000",UN,20.8,0.0,DIAMETALIC FERRA,FERRAMENTAS,293_BROCA_HSS_G_10X3_5MM.png,SIM
292,BROCA HSS-G 10X3MM,"31,000",UN,20.8,0.0,DIAMETALIC FERRA,FERRAMENTAS,292_BROCA_HSS_G_10X3MM.png,SIM
295,"BROCA HSS-G 10X4,5MM","44,000",UN,33.6,0.0,DIAMETALIC FERRA,FERRAMENTAS,295_BROCA_HSS_G_10X4_5MM.jpg,SIM
294,BROCA HSS-G 10X4MM,"52,000",UN,27.2,0.0,DIAMETALIC FERRA,FERRAMENTAS,294_BROCA_HSS_G_10X4MM.jpg,SIM
