linha
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 1 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"542 BROCA ACO RAPIDO 1,5MM-COLL 40,000 PE 2,930000 0,000000 COLLINS"
"539 BROCA ACO RAPIDO 1,8MM COLLINS 100,000 PE 3,240000 0,000000 COLLINS"
"238 BROCA ACO RAPIDO 10X2.5MM 0,000 UN 2,510000 0,000000 DIAMETALIC FERRA"
"541 BROCA ACO RAPIDO 1MM 70,000 PE 2,820000 0,000000 COLLINS"
"540 BROCA ACO RAPIDO 2,2MM 90,000 PE 4,280000 0,000000 COLLINS"
"309 BROCA ACO RAPIDO 2,8MM 39,000 UN 1,280000 0,000000 DIAMETALIC FERRA"
"543 BROCA ACO RAPIDO 3,2 MM 100,000 PE 5,440000 0,000000 COLLINS"
"548 BROCA ACO RAPIDO 3,25MM 20,000 PE 5,670000 0,000000 COLLINS"
"544 BROCA ACO RAPIDO 3,3MM 30,000 PE 5,650000 0,000000 COLLINS"
"545 BROCA ACO RAPIDO 3,5MM 26,000 PE 5,670000 0,000000 COLLINS"
"546 BROCA ACO RAPIDO 4,2MM 40,000 PE 5,800000 0,000000 COLLINS"
"549 BROCA ACO RAPIDO 4,3MM 100,000 PE 6,120000 0,000000 COLLINS"
"547 BROCA ACO RAPIDO 5,5MM 100,000 PE 9,860000 0,000000 COLLINS"
"237 BROCA ACO RAPIDO HSS-G 10X1.5M 0,000 UN 1,400000 0,000000 DIAMETALIC FERRA"
"407 BROCA CHATA 10MM 6,000 UN 3,120000 0,000000 KL VITORIA - COM. D"
"408 BROCA CHATA 12MM 6,000 UN 4,150000 0,000000 KL VITORIA - COM. D"
"409 BROCA CHATA 16MM 6,000 UN 5,170000 0,000000 KL VITORIA - COM. D"
"454 BROCA CHATA 18MM 5,000 UN 5,500000 0,000000 KL VITORIA - COM. D"
"411 BROCA CHATA 20MM 6,000 UN 6,190000 0,000000 KL VITORIA - COM. D"
Nucleu Tecnologia. 4109 1212
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 3 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"412 BROCA CHATA 25MM 6,000 UN 7,250000 0,000000 KL VITORIA - COM. D"
"551 BROCA CONCRETO STANDARD 10,00 69,000 PE 15,010000 0,000000 COLLINS"
"550 BROCA CONCRETO STANDARD 6,00MM 24,000 PE 6,820000 0,000000 COLLINS"
"269 BROCA DE CONCRETO 5X86MM 0,000 UN 2,720000 0,000000 DIAMETALIC FERRA"
"289 BROCA HSS-G 10X1,5MM 29,000 UN 12,000000 0,000000 DIAMETALIC FERRA"
"236 BROCA HSS-G 10X1MM 9,000 UN 12,000000 0,000000 DIAMETALIC FERRA"
